PATH  Rmax= 4.964,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 -----------------------------------------------------------------------
     1    2  12.000  index, nleg, degeneracy, r=  2.4573
    0.000000    0.000000    0.000000   0 'Ni    '     2.4573    0.0000    0.0000
    12    4  12.000  index, nleg, degeneracy, r=  4.9146
      x           y           z     ipot  label      rleg      beta        eta
    1.737570    0.000000    1.737570   1 'Ni    '     2.4573  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Ni    '     2.4573  180.0000    0.0000
    1.737570    0.000000    1.737570   1 'Ni    '     2.4573  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Ni    '     2.4573  180.0000    0.0000
    13    4  48.000  index, nleg, degeneracy, r=  4.9146
      x           y           z     ipot  label      rleg      beta        eta
    1.737570   -1.737570    0.000000   1 'Ni    '     2.4573  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Ni    '     2.4573   60.0000    0.0000
   -1.737570    0.000000   -1.737570   1 'Ni    '     2.4573  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Ni    '     2.4573   60.0000    0.0000
    14    4  12.000  index, nleg, degeneracy, r=  4.9146
      x           y           z     ipot  label      rleg      beta        eta
    1.737570   -1.737570    0.000000   1 'Ni    '     2.4573    0.0000    0.0000
    3.475150   -3.475150    0.000000   1 'Ni    '     2.4573  180.0000    0.0000
    1.737570   -1.737570    0.000000   1 'Ni    '     2.4573    0.0000    0.0000
    0.000000    0.000000    0.000000   0 'Ni    '     2.4573  180.0000    0.0000
    15    4  48.000  index, nleg, degeneracy, r=  4.9146
      x           y           z     ipot  label      rleg      beta        eta
   -1.737570    1.737570    0.000000   1 'Ni    '     2.4573   59.9999    0.0000
   -3.475150    1.737570   -1.737570   1 'Ni    '     2.4573  180.0000    0.0000
   -1.737570    1.737570    0.000000   1 'Ni    '     2.4573   59.9999    0.0000
    0.000000    0.000000    0.000000   0 'Ni    '     2.4573  180.0000    0.0000
    16    4  48.000  index, nleg, degeneracy, r=  4.9146
      x           y           z     ipot  label      rleg      beta        eta
    0.000000    1.737570   -1.737570   1 'Ni    '     2.4573  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Ni    '     2.4573  120.0000    0.0000
   -1.737570    0.000000   -1.737570   1 'Ni    '     2.4573  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Ni    '     2.4573  120.0000    0.0000
